Dataset,ResNet1D ResNet1D Accuracy Mean,ResNet1D ResNet1D Accuracy Std,ResNet1D ResNet1D F1 Mean,ResNet1D ResNet1D F1 Std
Yoga,0.744734,0.01770113397497456,0.7407539999999999,0.01855198382922967
WormsTwoClass,0.724676,0.05022969145833966,0.722066,0.05010979888205499
Worms,0.6545460000000001,0.06652877320378003,0.613132,0.08307147606730002
WordSynonyms,0.594358,0.00675197571085678,0.384762,0.020378102365038803
Wine,0.5555559999999999,0.111112,0.42064200000000007,0.17462399999999997
Wafer,0.9966899999999999,0.0010448349151899506,0.99147,0.0026708126104240354
UWaveGestureLibraryZ,0.708936,0.012202402386415555,0.6956300000000001,0.018938252295288515
UWaveGestureLibraryY,0.6842539999999999,0.007296713232682243,0.678374,0.0075327434577317255
UWaveGestureLibraryX,0.8005599999999999,0.005258315319567645,0.792524,0.008525079706372254
UWaveGestureLibraryAll,0.9070920000000001,0.011703331833285775,0.90622,0.011886965971180361
UMD,0.8625020000000001,0.0676721444613661,0.8563240000000001,0.0721583690503049
TwoPatterns,1.0,0.0,1.0,0.0
TwoLeadECG,0.8626860000000001,0.024053761951096122,0.8618399999999999,0.024373787559589497
Trace,1.0,0.0,1.0,0.0
ToeSegmentation2,0.8399980000000001,0.0425252754958742,0.7797419999999999,0.04746416475616107
ToeSegmentation1,0.951754,0.0055482162899439785,0.951746,0.0055419007569605435
SyntheticControl,0.986,0.007716937216279511,0.985984,0.007717296417787757
Symbols,0.902512,0.0349136434076995,0.8960779999999999,0.04641350122539776
SwedishLeaf,0.9359999999999999,0.005724334022399433,0.937152,0.005718801972441449
Strawberry,0.9659460000000001,0.005298858745050666,0.9635200000000002,0.005554220017248154
StarLightCurves,0.9561679999999999,0.02148450455560937,0.940418,0.02486593927443723
SonyAIBORobotSurface2,0.8243459999999999,0.01730008624255961,0.8040940000000001,0.0299850500082958
SonyAIBORobotSurface1,0.644594,0.04520841098733732,0.6260859999999999,0.053222532296011635
SmoothSubspace,0.977332,0.01162380729365382,0.97728,0.011652440087809938
SmallKitchenAppliances,0.7424,0.030477912001972838,0.742436,0.029398992227625733
ShapesAll,0.865666,0.02587566006887556,0.8612759999999999,0.027639746453250996
ShapeletSim,0.562222,0.04058316271558931,0.496964,0.05877331523744429
ShakeGestureWiimoteZ,0.736,0.07525955088890711,0.7319720000000001,0.07805597027774366
SemgHandSubjectCh2,0.4697760000000001,0.01330486617745551,0.46263000000000004,0.010868849065103431
SemgHandMovementCh2,0.372444,0.02255528638700916,0.37167200000000006,0.01789888421103394
SemgHandGenderCh2,0.8183299999999999,0.003162277660168382,0.7818039999999999,0.006479572825426066
ScreenType,0.47519999999999996,0.02265293711640943,0.470094,0.023417838158122112
Rock,0.48,0.05059644256269408,0.438338,0.0409534894239795
RefrigerationDevices,0.5061359999999999,0.0010679999999999802,0.506076,0.002431210398135075
ProximalPhalanxTW,0.771708,0.011294388695276967,0.48888800000000004,0.020343970507253496
ProximalPhalanxOutlineCorrect,0.909966,0.013643009345448681,0.891624,0.017394567657748765
ProximalPhalanxOutlineAgeGroup,0.8448740000000001,0.018094662859528512,0.7592760000000001,0.02629757448891436
PowerCons,0.9755559999999999,0.012469697029198451,0.975536,0.012499999359999995
Plane,0.9866680000000001,0.009712847986044052,0.9871739999999999,0.009482283691179025
PigCVP,0.25865400000000005,0.16423612496646406,0.23395000000000002,0.15539924156829082
PigArtPressure,0.7576919999999999,0.16642271784825532,0.7362939999999999,0.18139753952024817
PigAirwayPressure,0.24711399999999997,0.048515333493649206,0.196266,0.04772316318099629
PickupGestureWiimoteZ,0.43200000000000005,0.06523802572120035,0.40087799999999996,0.06406369499178143
Phoneme,0.248102,0.008977503884710938,0.114018,0.011527022859350975
PhalangesOutlinesCorrect,0.8228440000000001,0.004659500402403668,0.805856,0.003601608529532322
PLAID,0.12849,0.015845207477341534,0.06095199999999999,0.03555818634295062
OliveOil,0.880002,0.016328298625392652,0.859634,0.039342997648882834
OSULeaf,0.861158,0.04036780469631711,0.8457239999999999,0.03843654021891149
NonInvasiveFetalECGThorax2,0.9203060000000001,0.0029065622305397094,0.9171860000000001,0.003114511839759151
NonInvasiveFetalECGThorax1,0.9179640000000001,0.009896301531380302,0.914428,0.010729431299001831
MoteStrain,0.815334,0.031444790729149394,0.8094660000000001,0.03552491666422315
MixedShapesSmallTrain,0.8505559999999999,0.022501881343567707,0.850112,0.020170790167963193
MixedShapesRegularTrain,0.9432599999999999,0.008476808361641776,0.9430399999999999,0.008228798211160614
MiddlePhalanxTW,0.5168839999999999,0.016732098015491064,0.39210200000000006,0.02367647896119691
MiddlePhalanxOutlineCorrect,0.785566,0.01576354477901467,0.772748,0.014878858020695008
MiddlePhalanxOutlineAgeGroup,0.555844,0.03275096859636369,0.48508199999999996,0.03693756104563484
MelbournePedestrian,0.94793,0.005244154841344788,0.947364,0.005628358908243127
MedicalImages,0.6900000000000001,0.01893489371504368,0.644444,0.00402542221388019
Meat,0.7299979999999999,0.1561358667827479,0.715288,0.16690935592710196
Mallat,0.975608,0.0035950154380753312,0.9754200000000001,0.003697685762744024
Lightning7,0.60274,0.049009019986120936,0.592788,0.04978917328094533
Lightning2,0.652458,0.045664867195689955,0.615268,0.06493195989649474
LargeKitchenAppliances,0.881602,0.008017137643822728,0.882006,0.0079127305021718
ItalyPowerDemand,0.9652099999999999,0.00593886184382157,0.965202,0.005945668675599051
InsectWingbeatSound,0.5779780000000001,0.014174287142569119,0.576762,0.01433407883332583
InsectEPGSmallTrain,0.888354,0.11596434617588286,0.835914,0.18460632249194497
InsectEPGRegularTrain,0.925302,0.09219744603838004,0.8713059999999999,0.1624148615860014
InlineSkate,0.271998,0.09267119733768416,0.260518,0.12139343810931463
HouseTwenty,0.9193279999999999,0.03780506918390707,0.9183239999999999,0.03747828683384557
Herring,0.503128,0.022961516848849523,0.46814,0.031196907539049436
Haptics,0.400648,0.02328651403709881,0.393918,0.020923705599152354
HandOutlines,0.765946,0.07154098394626675,0.7404,0.06734287935632095
Ham,0.75619,0.022215926719360558,0.753772,0.022789869152761724
GunPointOldVersusYoung,1.0,0.0,1.0,0.0
GunPointMaleVersusFemale,0.9974700000000001,0.00236793580994079,0.9974640000000001,0.0023722107832146832
GunPointAgeSpan,0.9550639999999999,0.05826139737424776,0.954328,0.059717664522317
GunPoint,0.957334,0.012363890326268693,0.957228,0.012442653093291655
GesturePebbleZ2,0.755698,0.029031306136651853,0.733652,0.03508921395528831
GesturePebbleZ1,0.7453519999999999,0.10245809707387699,0.7205800000000001,0.13119966036541406
GestureMidAirD3,0.273848,0.026017509027576026,0.259612,0.024237680912166486
GestureMidAirD2,0.4815379999999999,0.13149888568349163,0.463706,0.13056541205081842
GestureMidAirD1,0.5446139999999999,0.05866311808964813,0.537714,0.06000166884345803
Fungi,0.564516,0.042606072149401424,0.547964,0.03880045546124427
FreezerSmallTrain,0.8245619999999999,0.018425205996134748,0.82424,0.018334199737103353
FreezerRegularTrain,0.9623160000000001,0.04206621713441799,0.9619779999999999,0.04266417063532351
FordB,0.809628,0.006361252706818078,0.809598,0.006358598587739269
FordA,0.9374239999999998,0.0007750509660661338,0.9373319999999999,0.0007944658582972418
Fish,0.9325720000000001,0.032205189271295995,0.932432,0.03144034567239998
FiftyWords,0.693626,0.016827351069018535,0.46859,0.025655609133287034
FacesUCR,0.878538,0.010781015536580963,0.8623580000000001,0.009354578344318904
FaceFour,0.6977279999999999,0.08118256645364201,0.6907500000000001,0.0807287802459569
FaceAll,0.898578,0.02455802793385493,0.9005240000000001,0.01773646255598899
EthanolLevel,0.6608,0.2110036966500824,0.6191660000000001,0.2545352284144574
ElectricDevices,0.6909120000000001,0.01001974530614425,0.6176400000000001,0.013995739351674155
Earthquakes,0.6877700000000001,0.014815023455938247,0.456834,0.016728384978831633
EOGVerticalSignal,0.461878,0.012031394599131053,0.45290600000000003,0.016545881179314693
EOGHorizontalSignal,0.5657439999999999,0.06701680434040407,0.5616399999999999,0.06954403410789456
ECGFiveDays,0.81347,0.030780068226045232,0.812536,0.031859812052176334
ECG5000,0.93631,0.003007530548473289,0.563264,0.009022847887446636
ECG200,0.898,0.029257477676655576,0.890274,0.031345492562727416
DodgerLoopWeekend,0.9188400000000001,0.0359130377439726,0.893178,0.05067000982829981
DodgerLoopGame,0.624638,0.077015812246577,0.582616,0.10865989169882327
DodgerLoopDay,0.335,0.031024184114977142,0.30199600000000004,0.02944720197234366
DistalPhalanxTW,0.6057560000000001,0.01665572886426768,0.47312200000000004,0.01553710320490919
DistalPhalanxOutlineCorrect,0.747824,0.01952621888641015,0.728552,0.024113451349817204
DistalPhalanxOutlineAgeGroup,0.738126,0.028268199518186522,0.72838,0.024466361396824
DiatomSizeReduction,0.958822,0.01809052061163524,0.950052,0.011529855853392095
Crop,0.765334,0.001635831287144223,0.762508,0.0021665031733186955
CricketZ,0.642562,0.02285524657491141,0.620382,0.025506245823327264
CricketY,0.5728200000000001,0.032980292297067344,0.565284,0.034335424039903736
CricketX,0.6399980000000001,0.02238928440124873,0.6370039999999999,0.03098157555709522
Computers,0.6759999999999999,0.020079840636817784,0.675438,0.020484583862016802
Coffee,0.992858,0.014284000000000008,0.9928480000000001,0.014304000000000006
CinCECGTorso,0.54029,0.02599431630183797,0.531952,0.023544874941269073
ChlorineConcentration,0.836148,0.012827326143822815,0.8145199999999999,0.017212400181264673
Chinatown,0.9399419999999999,0.0425538427876966,0.920348,0.06328160598467772
Car,0.7600020000000001,0.052280907949269595,0.736842,0.06149566827021235
CBF,0.756892,0.06364366155399925,0.737924,0.08534135330541695
BirdChicken,0.76,0.10677078252031309,0.758032,0.10657508628192615
BeetleFly,0.79,0.03741657386773941,0.77931,0.042556028010142105
Beef,0.779998,0.04521514011921228,0.776748,0.04938743945579685
BME,0.8706659999999999,0.04186895967181417,0.8720840000000001,0.04213274669422825
ArrowHead,0.7474299999999999,0.059538085961844615,0.745802,0.05763361845312161
AllGestureWiimoteZ,0.558,0.027532407813338808,0.550936,0.02792421214645097
AllGestureWiimoteY,0.633142,0.012371020006450567,0.63447,0.013460392267686723
AllGestureWiimoteX,0.556,0.023689780919206493,0.564902,0.023832347261652596
Adiac,0.7253200000000001,0.021312202138681006,0.711198,0.023797027041208323
ACSF1,0.77,0.057619441163551756,0.7622479999999999,0.0634698858987473
